col_1,col_2
445,7048
446,9000
447,4100
448,8870
449,7200
450,8816
451,7428
452,179
453,6484
454,5549
455,2811
456,4227
457,7960
458,400
459,6827
460,9349
461,310
462,1022
463,5816
464,9504
465,2266
466,9725
467,2051
468,2270
469,4246
470,4537
471,6518
472,9242
473,6572
474,2821
475,1463
476,3827
477,7963
478,123
479,2910
480,8663
481,5198
482,8207
483,7182
484,3699
485,3906
486,5128
487,8112
488,7846
489,3688
490,6755
491,5521
492,9182
493,4510
494,3596
495,790
496,1173
497,8384
498,6041
499,2613
500,8383
501,3340
502,5109
503,4895
504,4909
505,9050
506,6089
507,2707
508,7615
509,9742
510,1393
511,2020
512,9931
513,8421
514,9360
515,6181
516,2889
517,2553
518,4106
519,6992
520,3566
521,9331
522,855
523,8111
524,6449
525,5702
526,6292
527,8439
528,2701
529,8917
530,667
531,8589
532,1482
533,4181
534,1656
535,4384
536,1372
537,2280
538,1344
539,7292
540,3949
541,6265
542,7093
543,6509
544,2700
545,5333
546,7179
547,2070
548,7995
549,3474
550,1953
551,7066
552,9842
553,8750
554,6689
555,1935
556,4842
557,4550
558,4067
559,6208
560,9165
561,66
562,3111
563,8657
564,7189
565,9488
566,345
567,505
568,9923
569,3969
570,4267
571,3386
572,2833
573,4666
574,2432
575,8886
576,3285
577,4477
578,5098
579,9597
580,4111
581,7314
582,2753
583,8936
584,5849
585,8042
586,6881
587,1996
588,3424
589,9348
590,6280
591,3356
592,4654
593,1772
594,396
595,1935
596,9328
597,217
598,8934
599,4857
600,2238
601,1232
602,8199
603,6124
604,9382
605,5100
606,7163
607,8242
608,5847
609,8658
610,5304
611,14
612,2030
613,7247
614,7366
615,5738
616,4994
617,8836
618,6544
619,5561
620,9363
621,8066
622,1853
623,6186
624,6266
625,3341
626,9125
627,64
628,4549
629,9801
630,8372
631,3259
632,7563
633,9845
634,8470
635,6701
636,5003
637,2791
638,7363
639,8700
640,3234
641,5889
642,8622
643,58
644,6377
645,9493
646,6978
647,6640
648,5506
649,9576
650,1110
651,8073
652,4058
653,4766
654,341
655,6669
656,2558
657,6510
658,4428
659,2919
660,1203
661,9920
662,166
663,5726
664,4335
665,6737
666,8917
667,4976
668,2492
669,7571
670,4250
671,7939
672,2780
673,7654
674,8362
675,744
676,4438
677,8361
678,1616
679,9677
680,6924
681,1143
682,5820
683,1098
684,7250
685,324
686,2690
687,8310
688,2649
689,1525
690,6586
691,4519
692,9913
693,4988
694,3423
695,8653
696,3404
697,3887
698,5472
699,4409
700,1124
701,1227
702,8573
703,6033
704,7667
705,8381
706,9137
707,815
708,2762
709,4865
710,9114
711,4420
712,5831
713,9989
714,3803
715,6432
716,9193
717,6549
718,2824
719,7924
720,4253
721,5401
722,3643
723,4240
724,9994
725,4002
726,501
727,6597
728,5187
729,7075
730,4071
731,4409
732,3112
733,1189
734,2714
735,9489
736,7268
737,9527
738,2428
739,9933
740,4293
741,7527
742,8628
743,2663
744,2272
745,2263
746,7221
747,5917
748,5076
749,6566
750,3941
751,1898
752,3379
753,5006
754,1118
755,1744
756,3730
757,6505
758,5266
759,8067
760,1638
761,3060
762,737
763,907
764,9790
765,382
766,3549
767,569
768,8102
769,8660
770,7247
771,5611
772,4499
773,1935
774,2830
775,1561
776,3639
777,6549
778,3822
779,8111
780,7370
781,6192
782,2763
783,3797
784,3863
785,4648
786,7579
787,8963
788,9502
789,6384
790,3472
791,7401
792,4226
793,5409
794,8132
795,9726
796,1818
797,3504
798,1292
799,758
800,253
801,86
802,7871
803,5236
804,6278
805,9507
806,4706
807,3210
808,6553
809,2623
810,2495
811,500
812,249
813,6346
814,2379
815,8890
816,936
817,9253
818,6218
819,4165
820,2130
821,1303
822,7584
823,4971
824,237
825,582
826,8798
827,997
828,8601
829,2113
830,702
831,4483
832,1925
833,7087
834,1492
835,3115
836,453
837,8187
838,2136
839,4576
840,3145
841,7333
842,6385
843,5404
844,4391
845,4258
846,3983
847,4022
848,987
849,9633
850,9675
851,2872
852,5729
853,7021
854,9919
855,9180
856,8556
857,997
858,5788
859,8961
860,6761
861,8817
862,3267
863,8789
864,6949
865,1149
866,4377
867,1185
868,4122
869,2910
870,1583
871,2475
872,962
873,3332
874,7015
875,736
876,866
877,1495
878,8403
879,7687
880,8211
881,6067
882,1627
883,5124
884,658
885,2075
886,8708
887,544
888,7264
889,2101
890,6475
891,7309
892,404
893,8594
894,4424
895,1481
896,4097
897,5332
898,1406
899,4946
900,561
901,6296
902,953
903,4277
904,5132
905,2131
906,4265
907,6229
908,1920
909,4977
910,1542
911,6961
912,4021
913,8237
914,9129
915,3366
916,5409
917,5549
918,8345
919,6408
920,9571
921,7884
922,1716
923,2126
924,7351
925,8582
926,9153
927,9526
928,8521
929,8776
930,496
931,4774
932,2573
933,3277
934,6068
935,6378
936,8538
937,5313
938,1596
939,6710
940,5659
941,2071
942,9420
943,1063
944,714
945,4924
946,8744
947,5139
948,6842
949,4888
950,5224
951,5778
952,4468
953,5330
954,8522
955,8210
956,142
957,8621
958,1997
959,2438
960,5196
961,5335
962,5367
963,9390
964,1128
965,7403
966,4582
967,7860
968,7441
969,5967
970,6235
971,1281
972,9486
973,920
974,2205
975,799
976,8581
977,8064
978,9431
979,4128
980,4021
981,9401
982,5549
983,5925
984,6065
985,6596
986,5037
987,7612
988,9802
989,5578
990,8719
991,8316
992,2750
993,477
994,2431
995,4099
996,3624
997,9221
998,2186
999,1848
1000,3025
1001,6736
1002,821
1003,1626
1004,8941
1005,4354
1006,1753
1007,3348
1008,4288
1009,1095
1010,9359
1011,8625
1012,1287
1013,1193
1014,3562
1015,2841
1016,8381
1017,7080
1018,358
1019,9673
1020,6032
1021,7974
1022,4649
1023,3604
1024,3284
1025,9799
1026,8088
1027,3854
1028,6971
1029,7409
1030,6016
1031,8921
1032,3094
1033,7900
1034,1192
1035,4204
1036,6674
1037,3300
1038,136
1039,8717
1040,6238
1041,8427
1042,7981
1043,1252
1044,6615
1045,8357
1046,9475
1047,9579
1048,6973
1049,658
1050,5765
1051,7512
1052,105
1053,3110
1054,4905
1055,91
1056,8861
1057,1967
1058,4959
1059,8397
1060,5171
1061,8897
1062,9372
1063,9034
1064,4629
1065,8612
1066,6741
1067,8881
1068,8485
1069,6690
1070,9876
1071,9521
1072,5043
1073,7415
1074,4947
1075,2146
1076,8296
1077,7278
1078,9606
1079,2300
1080,9012
1081,2671
1082,4141
1083,158
1084,6950
1085,9272
1086,594
1087,6036
1088,6896
1089,6589
1090,4613
1091,301
1092,1483
1093,1476
1094,79
1095,6282
1096,4406
1097,7609
1098,4456
1099,6106
1100,7888
1101,5514
1102,6365
1103,7474
1104,1909
1105,7926
1106,5809
1107,2371
1108,6803
1109,2430
1110,298
1111,2820
1112,4264
1113,6026
1114,2083
1115,9660
1116,4705
1117,6766
1118,4226
1119,8418
1120,4707
1121,6894
1122,4484
1123,7103
1124,5504
1125,7960
1126,3531
1127,8051
1128,6585
1129,6966
1130,1498
1131,1056
1132,2122
1133,3378
1134,2452
1135,3756
1136,429
1137,1692
1138,4149
1139,2552
1140,7861
1141,1622
1142,6540
1143,3071
1144,50
1145,1461
1146,7008
1147,834
1148,9005
1149,3577
1150,8758
1151,6913
1152,5681
1153,771
1154,1691
1155,9058
1156,6876
1157,1944
1158,4348
1159,4568
1160,2934
1161,7860
1162,782
1163,3510
1164,1429
1165,6386
1166,2029
1167,7329
1168,4821
1169,8321
1170,8159
1171,6441
1172,1904
1173,9931
1174,7852
1175,1734
1176,2444
1177,6331
1178,3297
1179,2739
1180,8532
1181,4221
1182,6826
1183,8794
1184,4729
1185,8069
1186,8926
1187,3517
1188,5523
1189,7963
1190,1686
1191,141
1192,5684
1193,4384
1194,925
1195,8857
1196,7214
1197,4913
1198,1651
1199,3745
1200,8324
1201,4499
1202,4430
1203,4037
1204,6745
1205,2431
1206,2134
1207,4200
1208,3200
1209,6681
1210,9189
1211,9806
1212,958
1213,8730
1214,9978
1215,8346
1216,2439
1217,6780
1218,4427
1219,4585
1220,7867
1221,5011
1222,4376
1223,8050
1224,3513
1225,8172
1226,6025
1227,9815
1228,7710
1229,3960
1230,5545
1231,2887
1232,9925
1233,2969
1234,9512
1235,7392
1236,8762
1237,2449
1238,953
1239,8257
1240,5342
1241,8659
1242,2213
1243,3493
1244,5167
1245,8090
1246,7871
1247,5408
1248,1940
1249,2096
1250,2296
1251,4202
1252,3687
1253,1443
1254,8829
1255,820
1256,9226
1257,2820
1258,1903
1259,3707
1260,9229
1261,3268
1262,8242
1263,9300
1264,5045
1265,6919
1266,5369
1267,70
1268,329
1269,5003
1270,3609
1271,1386
1272,3679
1273,4591
1274,5589
1275,4409
1276,9850
1277,8494
1278,6215
1279,379
1280,1994
1281,5405
1282,5686
1283,2285
1284,1858
1285,4110
1286,2348
1287,9405
1288,673
1289,5686
1290,1268
1291,1505
1292,1691
1293,4915
1294,5195
1295,4079
1296,4413
1297,8678
1298,816
1299,5928
1300,511
1301,1284
1302,2278
1303,6543
1304,6096
1305,3966
1306,1538
1307,5388
1308,4484
1309,131
1310,8442
1311,5273
1312,1839
1313,5774
1314,2063
1315,9932
1316,4442
1317,6639
1318,1493
1319,9448
1320,8647
1321,7792
1322,9248
1323,6861
1324,8778
1325,6452
1326,4934
1327,3595
1328,4959
1329,8997
1330,2182
1331,884
1332,9832
1333,8332
1334,1801
1335,2870
1336,3942
1337,3523
1338,7121
1339,4498
1340,8945
1341,328
1342,4103
1343,8829
1344,4439
1345,8686
1346,4289
1347,7754
1348,2066
1349,6608
1350,1700
1351,6120
1352,1132
1353,8917
1354,5950
1355,8926
1356,9102
1357,8313
1358,9517
1359,499
1360,5049
1361,7299
1362,2167
1363,2553
1364,1219
1365,9491
1366,2326
1367,3544
1368,7932
1369,5497
1370,5982
1371,4790
1372,2618
1373,2550
1374,6255
1375,7205
1376,6647
1377,1932
1378,9847
1379,2379
1380,4420
1381,4839
1382,9891
1383,135
1384,8803
1385,159
1386,2173
1387,6218
1388,9207
1389,1658
1390,7529
1391,498
1392,7078
1393,9807
1394,6919
1395,4524
1396,6065
1397,6692
1398,6655
1399,9926
1400,7570
1401,873
1402,1626
1403,7713
1404,613
1405,10
1406,690
1407,1821
1408,9624
1409,2287
1410,8691
1411,8325
1412,5838
1413,9029
1414,4439
1415,9310
1416,5840
1417,7765
1418,4017
1419,3930
1420,1730
1421,9214
1422,5861
1423,2600
1424,1908
1425,665
1426,5140
1427,6921
1428,5674
1429,4154
1430,913
1431,7125
1432,6799
1433,6166
1434,5878
1435,4816
1436,5591
1437,7226
1438,3901
1439,9989
1440,8504
1441,2366
1442,919
1443,5596
1444,1860
1445,8406
1446,2822
1447,8898
1448,7987
1449,5587
1450,1991
1451,9549
1452,355
1453,7869
1454,3428
1455,6279
1456,2863
1457,6509
1458,3733
1459,1634
1460,4070
1461,5499
1462,5392
1463,4017
1464,7559
1465,7720
1466,6055
1467,8072
1468,3175
1469,7078
1470,7219
1471,6535
1472,8881
1473,1973
1474,9363
1475,8000
1476,4366
1477,2052
1478,2456
1479,196
1480,6163
1481,6794
1482,1786
1483,430
1484,1223
1485,2998
1486,7517
1487,6178
1488,8226
1489,4727
1490,2548
1491,2528
1492,8596
1493,1733
1494,4172
1495,308
1496,7610
1497,6498
1498,3742
1499,8811
1500,6403
1501,88
1502,8915
1503,4088
1504,6930
1505,2604
1506,2934
1507,5612
1508,3919
1509,1247
1510,8788
1511,9140
1512,2637
1513,2878
1514,6156
1515,9591
1516,354
1517,8407
1518,3554
1519,7003
1520,3862
1521,663
1522,8449
1523,3117
1524,8259
1525,8795
1526,1266
1527,4062
1528,6524
1529,7618
1530,1952
1531,9290
1532,793
1533,6341
1534,1470
1535,9175
1536,1550
1537,7847
1538,737
1539,8495
1540,3919
1541,200
1542,342
1543,5112
1544,7642
1545,4556
1546,6809
1547,2732
1548,9748
1549,2183
1550,9203
1551,5216
1552,8761
1553,7352
1554,8219
1555,6843
1556,9074
1557,2747
1558,6480
1559,6375
1560,3289
1561,8117
1562,4562
1563,5899
1564,2482
1565,4251
1566,9288
1567,4580
1568,2870
1569,1371
1570,5907
1571,5507
1572,2339
1573,4235
1574,4179
1575,4134
1576,5724
1577,6296
1578,4574
1579,9265
1580,7664
1581,221
1582,2442
1583,2135
1584,4141
1585,3702
1586,3220
1587,1155
1588,9493
1589,8808
1590,3251
1591,8897
1592,7033
1593,3930
1594,9464
1595,2281
1596,9076
1597,7545
1598,6412
1599,3209
1600,1353
1601,1265
1602,2509
1603,943
1604,496
1605,6642
1606,6269
1607,6837
1608,2253
1609,9684
1610,9780
1611,2117
1612,8823
1613,8952
1614,1216
1615,3953
1616,6254
1617,2285
1618,4681
1619,3317
1620,6508
1621,5847
1622,2922
1623,3689
1624,4880
1625,2357
1626,5698
1627,8063
1628,8772
1629,4781
1630,1452
1631,8427
1632,4898
1633,3422
1634,7594
1635,359
1636,4757
1637,9710
1638,1689
1639,6106
1640,7268
1641,4177
1642,955
1643,854
1644,5171
1645,2620
1646,2169
1647,1693
1648,1844
1649,7132
1650,9610
1651,4029
1652,3406
1653,8262
1654,8319
1655,6502
1656,1992
1657,3477
1658,6289
1659,8478
1660,2195
1661,9476
1662,4172
1663,60
1664,1981
1665,3303
1666,9220
1667,6194
1668,7898
1669,8930
1670,3780
1671,4386
1672,618
1673,2749
1674,9083
1675,8239
1676,3820
1677,6725
1678,4485
1679,6901
1680,6530
1681,4457
1682,8094
1683,1602
1684,2124
1685,3059
1686,9168
1687,261
1688,7438
1689,735
1690,8003
1691,3512
1692,6455
1693,8826
1694,5510
1695,3990
1696,1541
1697,1264
1698,699
1699,6925
1700,7239
1701,3094
1702,2839
1703,9754
1704,8225
1705,3113
1706,8352
1707,6305
1708,8550
1709,5908
1710,3229
1711,3813
1712,5894
1713,9602
1714,1057
1715,5588
1716,849
1717,7512
1718,725
1719,2897
1720,2420
1721,4679
1722,7687
1723,706
1724,9558
1725,8210
1726,1063
1727,9265
1728,6493
1729,1508
1730,6553
1731,8385
1732,9379
1733,4937
1734,6462
1735,4390
1736,5771
1737,7711
1738,805
1739,9048
1740,7818
1741,286
1742,6994
1743,4991
1744,9645
1745,5199
1746,2448
1747,9767
1748,9656
1749,9106
1750,4552
1751,1080
1752,9948
1753,5915
1754,6802
1755,6407
1756,8517
1757,388
1758,9432
1759,9532
1760,1860
1761,606
1762,9402
1763,8677
1764,236
1765,1654
1766,5441
1767,5517
1768,6035
1769,9026
1770,565
1771,6065
1772,9548
1773,1216
1774,7946
1775,1373
1776,8841
1777,7311
1778,5481
1779,8194
1780,8915
1781,56
1782,2634
1783,5326
1784,5913
1785,3506
1786,2395
1787,9507
1788,2429
1789,9660
1790,1768
1791,6619
1792,5198
1793,8334
1794,6896
1795,5899
1796,5594
1797,4257
1798,9976
1799,6038
1800,617
1801,1040
1802,4042
1803,4351
1804,6506
1805,9018
1806,4651
1807,9401
1808,1368
1809,1228
1810,2792
1811,4380
1812,6780
1813,1365
1814,2069
1815,4628
1816,9025
1817,4306
1818,3848
1819,3451
1820,1620
1821,4541
1822,7872
1823,772
1824,8392
1825,4937
1826,3341
1827,8908
1828,1231
1829,9023
1830,5169
1831,5566
1832,4851
1833,8457
1834,2184
1835,578
1836,7246
1837,5963
1838,611
1839,471
1840,5169
1841,6841
1842,2684
1843,9126
1844,666
1845,9640
1846,8616
1847,6957
1848,3021
1849,3235
1850,3815
1851,1881
1852,9625
1853,2131
1854,9613
1855,8295
1856,2007
1857,4368
1858,7510
1859,3217
1860,906
1861,5920
1862,7474
1863,5488
1864,5812
1865,3601
1866,154
1867,229
1868,8008
1869,529
1870,2694
1871,4151
1872,9044
1873,654
1874,151
1875,3770
1876,1387
1877,8591
1878,2840
1879,576
1880,8654
1881,3281
1882,3432
1883,7258
1884,4732
1885,3982
1886,8037
1887,8289
1888,6085
1889,5324
1890,6423
1891,1204
1892,3199
1893,9738
1894,2974
1895,3073
1896,4866
1897,9524
1898,6984
1899,7767
1900,5956
1901,380
1902,7985
1903,339
1904,1717
1905,9470
1906,7086
1907,9539
1908,5630
1909,5553
1910,1214
1911,6885
1912,3200
1913,8426
1914,8100
1915,9961
1916,9235
1917,9018
1918,8210
1919,7826
1920,9830
1921,9433
1922,7375
1923,9892
1924,7720
1925,2710
1926,4396
1927,8593
1928,4941
1929,9232
1930,6496
1931,9952
1932,8843
1933,4246
1934,4185
1935,5084
1936,241
1937,9906
1938,752
1939,7497
1940,7497
1941,5826
1942,3804
1943,8323
1944,7278
1945,3427
1946,7799
1947,5499
1948,2373
1949,6290
1950,7166
1951,889
1952,1823
1953,5838
1954,135
1955,4192
1956,8866
1957,886
1958,5021
1959,6206
1960,246
1961,5317
1962,5541
1963,5060
1964,9654
1965,815
1966,3418
1967,1340
1968,5385
1969,1965
1970,1086
1971,2104
1972,4822
1973,6712
1974,9953
1975,5584
1976,3811
1977,446
1978,2999
1979,8261
1980,9406
1981,5994
1982,4957
1983,4813
1984,6194
1985,6889
1986,8625
1987,7561
1988,1216
1989,3261
1990,6680
1991,3795
1992,9960
1993,692
1994,3945
1995,3680
1996,3990
1997,6467
1998,6216
1999,3444
2000,2491
2001,4903
2002,5900
2003,24
2004,5035
2005,7279
2006,8158
2007,2800
2008,2399
2009,511
2010,6075
2011,7160
2012,9076
2013,5602
2014,8409
2015,8024
2016,5204
2017,9893
2018,1828
2019,9562
2020,4789
2021,8980
2022,4524
2023,7038
2024,186
2025,5091
2026,1417
2027,8060
2028,1884
2029,8211
2030,3614
2031,9923
2032,4337
2033,7157
2034,6107
2035,3778
2036,889
2037,1680
2038,9780
2039,8442
2040,8425
2041,8378
2042,2672
2043,2126
2044,4786
2045,792
2046,1120
2047,3576
2048,52
2049,1013
2050,6930
2051,345
2052,1085
2053,902
2054,147
2055,572
2056,8814
2057,5557
2058,5452
2059,308
2060,145
2061,9160
2062,3463
2063,7684
2064,3279
2065,4363
2066,4840
2067,9531
2068,9023
2069,8545
2070,4119
2071,3826
2072,2993
2073,3453
2074,6414
2075,980
2076,3910
2077,9099
2078,7416
2079,580
2080,5430
2081,5353
2082,6665
2083,1962
2084,263
2085,9217
2086,3032
2087,8284
2088,1535
2089,3029
2090,3578
2091,3685
2092,2893
2093,4984
2094,1603
2095,964
2096,5143
2097,2397
2098,1030
2099,7261
2100,2459
2101,3784
2102,707
2103,4690
2104,5642
2105,956
2106,9660
2107,1463
2108,7251
2109,3281
2110,3733
2111,3033
2112,1953
2113,942
2114,3316
2115,886
2116,1900
2117,1433
2118,3602
2119,4688
2120,4131
2121,8638
2122,6928
2123,4074
2124,529
2125,4125
2126,3192
2127,5338
2128,5734
2129,5853
2130,7443
2131,6267
2132,6333
2133,1465
2134,6982
2135,4006
2136,8018
2137,5632
2138,2927
2139,9912
2140,1866
2141,3928
2142,1185
2143,7154
2144,4538
2145,8721
2146,4978
2147,5490
2148,6072
2149,6706
2150,7477
2151,5970
2152,5766
2153,5176
2154,6489
2155,7723
2156,8377
2157,281
2158,6067
2159,2087
2160,4955
2161,2753
2162,4952
2163,9287
2164,2077
2165,8988
2166,2450
2167,2735
2168,7499
2169,2495
2170,2215
2171,2640
2172,1306
2173,4160
2174,3858
2175,5832
2176,5165
2177,2811
2178,4543
2179,7751
2180,5075
2181,1266
2182,7019
2183,2524
2184,9011
2185,5788
2186,7368
2187,1761
2188,2553
2189,5175
2190,1134
2191,3061
2192,7858
2193,8759
2194,573
2195,768
2196,3141
2197,5833
2198,5998
2199,8319
2200,5822
2201,8252
2202,6137
2203,5605
2204,1973
2205,3026
2206,6152
2207,535
2208,4439
2209,3444
2210,1023
2211,4047
2212,4988
2213,5359
2214,9230
2215,6603
2216,4004
2217,5894
2218,811
2219,3798
2220,4761
2221,9314
2222,112
2223,3201
2224,1592
2225,2220
2226,3650
2227,6044
2228,8293
2229,4367
2230,2308
2231,2661
2232,3737
2233,1236
2234,5103
2235,9395
2236,8368
2237,8344
2238,8839
2239,9835
2240,8879
2241,7080
2242,7199
2243,9517
2244,8385
2245,7783
2246,2997
2247,8396
2248,5827
2249,3203
2250,7096
2251,1216
2252,4538
2253,3363
2254,3751
2255,2332
2256,2189
2257,3412
2258,348
2259,2681
2260,7958
2261,5946
2262,3014
2263,808
2264,5904
2265,1352
2266,9990
2267,3889
2268,3464
2269,1427
2270,7230
2271,3217
2272,9857
2273,5611
2274,2704
2275,9423
2276,295
2277,3565
2278,5179
2279,7871
2280,9046
2281,594
2282,859
2283,6010
2284,8192
2285,9162
2286,5727
2287,2221
2288,7999
2289,1120
2290,8376
2291,5224
2292,9293
2293,5105
2294,9915
2295,5207
2296,9387
2297,1468
2298,7880
2299,5538
2300,6809
2301,1172
2302,4294
2303,1032
2304,5292
2305,313
2306,2953
2307,5366
2308,3700
2309,5130
2310,4301
2311,4136
2312,5018
2313,7989
2314,6816
2315,197
2316,4826
2317,2661
2318,4765
2319,797
2320,1898
2321,7069
2322,7056
2323,3562
2324,4560
2325,5841
2326,9266
2327,8097
2328,9438
2329,4609
2330,9971
2331,4193
2332,2825
2333,5287
2334,2340
2335,5763
2336,1550
2337,6505
2338,5847
2339,8558
2340,9290
2341,3151
2342,6486
2343,7361
2344,2459
2345,7883
2346,3980
2347,619
2348,4057
2349,1295
2350,1156
2351,632
2352,8510
2353,8309
2354,7728
2355,9339
2356,7935
2357,5362
2358,8527
2359,2793
2360,9226
2361,8146
2362,6516
2363,217
2364,6325
2365,9055
2366,9212
2367,7382
2368,2710
2369,9722
2370,9645
2371,6114
2372,846
2373,6035
2374,5783
2375,7173
2376,3892
2377,8957
2378,4975
2379,1446
2380,7240
2381,5851
2382,3199
2383,2644
2384,2207
2385,7246
2386,739
2387,5965
2388,9296
2389,5525
2390,2842
2391,9319
2392,8035
2393,7837
2394,138
2395,9437
2396,3834
2397,9986
2398,974
2399,7277
2400,2680
2401,8349
2402,3414
2403,6559
2404,7634
2405,2021
2406,5158
2407,4294
2408,2267
2409,2774
2410,5406
2411,2157
2412,2957
2413,8688
2414,5049
2415,3839
2416,9084
2417,7003
2418,7669
2419,7504
2420,8364
2421,9047
2422,5097
2423,2782
2424,8519
2425,8312
2426,5060
2427,9700
2428,3388
2429,4630
2430,2533
2431,106
2432,5579
2433,1951
2434,6971
2435,6227
2436,8402
2437,2932
2438,7202
2439,7364
2440,8737
2441,7248
2442,5960
2443,3382
2444,886
2445,1396
2446,1759
2447,1595
2448,8819
2449,6350
2450,2250
2451,7265
2452,6508
2453,2982
2454,7783
2455,7356
2456,8552
2457,9726
2458,597
2459,9620
2460,3178
2461,9674
2462,7373
2463,8001
2464,6386
2465,4764
2466,5715
2467,2844
2468,9796
2469,4478
2470,2956
2471,452
2472,9117
2473,993
2474,1064
2475,9013
2476,3766
2477,7302
2478,5227
2479,7236
2480,5494
2481,1666
2482,6363
2483,882
2484,7673
2485,4559
2486,6708
2487,7624
2488,5428
2489,8315
2490,1574
2491,2691
2492,6575
2493,8865
2494,7000
2495,7828
2496,8283
2497,2441
2498,5235
2499,2392
2500,5734
2501,2249
2502,3171
2503,3686
2504,3541
2505,7439
2506,2552
2507,1695
2508,1687
2509,6967
2510,862
2511,7432
2512,2486
2513,6137
2514,9179
2515,5270
2516,4590
2517,6522
2518,233
2519,6350
2520,7981
2521,7297
2522,4943
2523,4966
2524,9523
2525,6341
2526,5131
2527,4746
2528,2854
2529,1644
2530,8018
2531,2945
2532,7304
2533,2513
2534,7516
2535,1729
2536,8817
2537,2022
